SENTTOT,AGE,CITIZEN,CRIMHIST,CRIMPTS,DISTRICT,DSPLEA,INOUT,MONSEX,NEWEDUC,NEWRACE,OFFGUIDE,PRESENT,SENTIMP,WEAPON,XMAXSOR,XMINSOR
37.0,23.0,1.0,1.0,1.0,70,1,,0.0,1.0,2.0,17,1.0,1,1,51.0,41.0
6.0,53.0,3.0,1.0,2.0,82,1,0.0,0.0,1.0,3.0,17,1.0,1,0,14.0,8.0
70.0,42.0,2.0,0.0,0.0,42,1,,0.0,3.0,3.0,10,1.0,1,0,87.0,70.0
0.43,34.0,1.0,1.0,0.0,80,1,,1.0,3.0,6.0,13,1.0,1,0,16.0,10.0
30.0,44.0,3.0,1.0,6.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,57.0,46.0
18.0,22.0,1.0,0.0,0.0,70,1,,1.0,1.0,3.0,10,3.0,1,0,87.0,70.0
10.0,40.0,1.0,1.0,0.0,41,1,,1.0,5.0,3.0,17,2.0,1,0,24.0,18.0
20.0,53.0,3.0,1.0,8.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,46.0,37.0
24.0,24.0,1.0,1.0,0.0,70,1,,0.0,3.0,3.0,23,2.0,1,0,57.0,46.0
288.0,55.0,1.0,1.0,8.0,46,1,,0.0,6.0,3.0,27,1.0,1,0,293.0,235.0
,36.0,1.0,1.0,6.0,70,1,,0.0,3.0,1.0,17,3.0,4,0,21.0,15.0
18.0,40.0,1.0,1.0,6.0,70,1,,0.0,3.0,3.0,17,1.0,1,0,37.0,30.0
96.0,41.0,1.0,1.0,24.0,12,1,,0.0,3.0,2.0,10,1.0,1,0,162.0,130.0
24.0,35.0,1.0,0.0,0.0,39,1,,1.0,6.0,2.0,16,2.0,1,0,37.0,30.0
0.03,25.0,3.0,0.0,0.0,42,1,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
235.0,46.0,1.0,1.0,0.0,61,1,,0.0,3.0,1.0,27,2.0,1,0,262.0,210.0
120.0,34.0,1.0,1.0,12.0,29,1,,0.0,3.0,1.0,13,1.0,1,0,262.0,210.0
,38.0,,1.0,1.0,34,2,1.0,1.0,,,30,,0,0,6.0,0.0
43.0,49.0,1.0,1.0,3.0,12,1,,0.0,3.0,2.0,10,3.0,1,0,71.0,57.0
240.0,31.0,1.0,1.0,0.0,33,1,,0.0,3.0,2.0,10,1.0,1,1,9996.0,360.0
151.0,23.0,1.0,1.0,1.0,39,1,,0.0,3.0,3.0,10,1.0,1,0,168.0,135.0
180.0,35.0,1.0,1.0,7.0,39,1,,0.0,1.0,2.0,10,1.0,1,1,235.0,188.0
25.0,37.0,1.0,1.0,1.0,47,1,,0.0,5.0,3.0,10,2.0,1,1,57.0,46.0
70.0,64.0,1.0,1.0,4.0,12,1,,0.0,1.0,3.0,10,1.0,1,0,108.0,87.0
6.95,53.0,3.0,1.0,0.0,41,1,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
6.0,42.0,1.0,0.0,0.0,9,1,,0.0,3.0,1.0,10,3.0,1,0,18.0,12.0
21.0,48.0,1.0,1.0,14.0,14,5,,0.0,3.0,2.0,16,1.0,1,0,27.0,21.0
36.0,34.0,1.0,1.0,3.0,72,1,,0.0,3.0,3.0,10,1.0,1,0,121.0,97.0
18.0,20.0,1.0,1.0,3.0,41,1,,0.0,1.0,3.0,17,1.0,1,0,21.0,15.0
8.0,31.0,1.0,1.0,3.0,14,1,0.0,0.0,1.0,3.0,16,1.0,1,0,14.0,8.0
70.0,43.0,3.0,1.0,0.0,41,1,,0.0,1.0,3.0,10,1.0,1,1,108.0,87.0
0.03,45.0,1.0,0.0,0.0,72,1,,0.0,5.0,1.0,29,2.0,1,0,24.0,18.0
87.0,29.0,3.0,1.0,5.0,72,1,,0.0,1.0,3.0,10,1.0,1,0,125.0,100.0
,40.0,1.0,0.0,0.0,72,1,,0.0,5.0,3.0,16,2.0,4,0,18.0,12.0
57.0,51.0,3.0,1.0,0.0,72,1,,0.0,3.0,3.0,10,1.0,1,0,87.0,70.0
33.0,34.0,1.0,1.0,3.0,4,1,,0.0,3.0,3.0,13,1.0,1,0,33.0,27.0
20.3,36.0,1.0,1.0,5.0,41,1,,0.0,1.0,1.0,6,1.0,1,0,,
51.0,44.0,1.0,1.0,10.0,78,1,,0.0,1.0,2.0,13,1.0,1,0,87.0,70.0
80.0,41.0,1.0,1.0,2.0,25,1,,0.0,1.0,1.0,7,1.0,1,0,121.0,97.0
0.03,42.0,3.0,1.0,2.0,10,1,0.0,0.0,1.0,3.0,17,1.0,1,0,7.0,1.0
12.03,29.0,1.0,1.0,0.0,41,1,,0.0,3.0,3.0,10,2.0,2,0,57.0,46.0
54.0,41.0,1.0,1.0,16.0,65,1,,0.0,1.0,2.0,13,1.0,1,0,63.0,51.0
52.0,29.0,1.0,1.0,1.0,25,1,,0.0,5.0,2.0,10,2.0,1,1,87.0,70.0
